구_x,동,전용면적,층,추정월세,업종,구_y,추정매출
서대문구,홍제동,100,2,197.1610262091667,학원,서대문구,1095.6357723577237
서대문구,남가좌동,100,2,198.14258429651488,슈퍼마켓,서대문구,2769.079069767442
서대문구,남가좌동,100,2,198.14258429651488,음식점,서대문구,1063.3600000000001
서대문구,남가좌동,100,2,198.14258429651488,카페,서대문구,570.8698412698412
서대문구,남가좌동,100,2,198.14258429651488,학원,서대문구,1648.786440677966
서대문구,북아현동,100,2,198.6625554142344,슈퍼마켓,서대문구,1802.097777777778
서대문구,북아현동,100,2,198.6625554142344,음식점,서대문구,1622.8000000000002
서대문구,북아현동,100,2,198.6625554142344,카페,서대문구,386.51428571428573
서대문구,북아현동,100,2,198.6625554142344,학원,서대문구,1426.24
서대문구,북가좌동,100,2,204.28116583289457,슈퍼마켓,서대문구,1796.0
서대문구,북가좌동,100,2,204.28116583289457,음식점,서대문구,1574.8296296296294
서대문구,북가좌동,100,2,204.28116583289457,카페,서대문구,450.144
서대문구,북가좌동,100,2,204.28116583289457,학원,서대문구,1063.2754716981133
송파구,오금동,100,2,227.64729772194028,슈퍼마켓,송파구,2878.766666666667
송파구,오금동,100,2,227.64729772194028,음식점,송파구,1697.2075471698115
송파구,오금동,100,2,227.64729772194028,카페,송파구,698.2709677419356
송파구,오금동,100,2,227.64729772194028,학원,송파구,1754.8000000000002
송파구,거여동,100,2,236.9487220523352,음식점,송파구,1664.2400000000002
송파구,거여동,100,2,236.9487220523352,카페,송파구,623.8666666666668
송파구,거여동,100,2,236.9487220523352,학원,송파구,1756.3076923076924
서대문구,연희동,100,2,238.0169719668156,슈퍼마켓,서대문구,2066.9333333333334
서대문구,연희동,100,2,238.0169719668156,음식점,서대문구,1940.1579617834395
서대문구,연희동,100,2,238.0169719668156,카페,서대문구,877.6638036809817
서대문구,연희동,100,2,238.0169719668156,학원,서대문구,1134.3172413793104
송파구,가락동,100,2,238.7580751641036,슈퍼마켓,송파구,3200.0
송파구,가락동,100,2,238.7580751641036,음식점,송파구,1767.5818181818186
송파구,가락동,100,2,238.7580751641036,카페,송파구,1181.55
송파구,가락동,100,2,238.7580751641036,학원,송파구,1216.0923076923077
송파구,풍납동,100,2,241.43742276553803,슈퍼마켓,송파구,4200.505263157895
송파구,풍납동,100,2,241.43742276553803,음식점,송파구,750.96
송파구,풍납동,100,2,241.43742276553803,카페,송파구,527.92
송파구,풍납동,100,2,241.43742276553803,학원,송파구,1280.9142857142858
송파구,문정동,100,2,248.1945402548541,슈퍼마켓,송파구,2704.596078431372
송파구,문정동,100,2,248.1945402548541,음식점,송파구,2123.0
송파구,문정동,100,2,248.1945402548541,카페,송파구,872.0150943396226
송파구,문정동,100,2,248.1945402548541,학원,송파구,1195.9064935064935
송파구,마천동,100,2,259.9796066613679,슈퍼마켓,송파구,2260.0533333333333
송파구,마천동,100,2,259.9796066613679,음식점,송파구,714.5982905982908
송파구,마천동,100,2,259.9796066613679,카페,송파구,429.08571428571435
송파구,마천동,100,2,259.9796066613679,학원,송파구,519.0787878787879
송파구,방이동,100,2,261.89998751897014,슈퍼마켓,송파구,2557.952
송파구,방이동,100,2,261.89998751897014,음식점,송파구,2105.912
송파구,방이동,100,2,261.89998751897014,카페,송파구,1182.9732620320856
송파구,방이동,100,2,261.89998751897014,학원,송파구,1676.304
송파구,삼전동,100,2,265.3464523901145,슈퍼마켓,송파구,5093.400000000001
송파구,삼전동,100,2,265.3464523901145,음식점,송파구,1721.48
송파구,삼전동,100,2,265.3464523901145,카페,송파구,859.751724137931
송파구,삼전동,100,2,265.3464523901145,학원,송파구,1726.420512820513
송파구,장지동,100,2,266.7773314945413,슈퍼마켓,송파구,942.0
송파구,장지동,100,2,266.7773314945413,음식점,송파구,1670.6933333333336
송파구,장지동,100,2,266.7773314945413,카페,송파구,468.18909090909096
송파구,장지동,100,2,266.7773314945413,학원,송파구,944.8228571428572
광진구,능동,100,2,270.2469185539098,슈퍼마켓,광진구,5258.666666666667
광진구,능동,100,2,270.2469185539098,음식점,광진구,2136.819512195122
광진구,능동,100,2,270.2469185539098,카페,광진구,988.1333333333334
광진구,능동,100,2,270.2469185539098,학원,광진구,1063.3481481481483
광진구,군자동,100,2,270.6212983418211,슈퍼마켓,광진구,2132.96
광진구,군자동,100,2,270.6212983418211,음식점,광진구,2434.756923076923
광진구,군자동,100,2,270.6212983418211,카페,광진구,620.8680851063831
광진구,군자동,100,2,270.6212983418211,학원,광진구,1224.7466666666667
광진구,구의동,100,2,272.95796885495747,슈퍼마켓,광진구,1854.698305084746
광진구,구의동,100,2,272.95796885495747,음식점,광진구,1612.87960199005
광진구,구의동,100,2,272.95796885495747,카페,광진구,1301.873291925466
광진구,구의동,100,2,272.95796885495747,학원,광진구,1185.3727272727272
광진구,화양동,100,2,274.72791306544747,슈퍼마켓,광진구,2159.002597402598
광진구,화양동,100,2,274.72791306544747,음식점,광진구,1704.4400000000003
광진구,화양동,100,2,274.72791306544747,카페,광진구,1036.6779661016951
광진구,화양동,100,2,274.72791306544747,학원,광진구,1387.6000000000001
송파구,석촌동,100,2,277.0931056217132,슈퍼마켓,송파구,1657.8891566265063
송파구,석촌동,100,2,277.0931056217132,음식점,송파구,1486.1200000000001
송파구,석촌동,100,2,277.0931056217132,카페,송파구,487.49176470588236
송파구,석촌동,100,2,277.0931056217132,학원,송파구,1484.8738461538464
광진구,자양동,100,2,279.34415000880995,슈퍼마켓,광진구,1773.14619883041
광진구,자양동,100,2,279.34415000880995,음식점,광진구,1018.1073170731709
광진구,자양동,100,2,279.34415000880995,카페,광진구,822.1891472868218
광진구,자양동,100,2,279.34415000880995,학원,광진구,1412.1156069364163
광진구,광장동,100,2,280.38643548376865,슈퍼마켓,광진구,1935.92
광진구,광장동,100,2,280.38643548376865,음식점,광진구,1653.0400000000002
광진구,광장동,100,2,280.38643548376865,카페,광진구,1376.2604651162792
광진구,광장동,100,2,280.38643548376865,학원,광진구,559.0
광진구,중곡동,100,2,281.2459262686683,슈퍼마켓,광진구,2158.464
광진구,중곡동,100,2,281.2459262686683,음식점,광진구,1014.8162162162162
광진구,중곡동,100,2,281.2459262686683,카페,광진구,492.11782945736434
광진구,중곡동,100,2,281.2459262686683,학원,광진구,1033.0133333333333
송파구,송파동,100,2,287.0888079060999,슈퍼마켓,송파구,2853.657971014493
송파구,송파동,100,2,287.0888079060999,음식점,송파구,1656.607594936709
송파구,송파동,100,2,287.0888079060999,카페,송파구,1024.775
송파구,송파동,100,2,287.0888079060999,학원,송파구,1150.504918032787
송파구,잠실동,100,2,288.7985925318055,슈퍼마켓,송파구,3064.6981818181825
송파구,잠실동,100,2,288.7985925318055,음식점,송파구,1826.1281553398057
송파구,잠실동,100,2,288.7985925318055,카페,송파구,1619.0022471910113
